time,battery,totalGenerated,spareModules,totalDirt,totalModules
12780.62,997931189.894246,81301897.8777791,53.4044353911609,18000,53.4044353911609
12843.99,997297456.250561,81935630.4148103,54.4606563117886,18000,54.4606563117886
12900.56,997531425.278159,82501303.2439615,54.7199994152784,18000,54.7199994152784
12960.22,996484280.177912,83097950.9035016,55.662852445823,18500,55.662852445823
13020.19,996365417.088542,83697610.2736856,56.2399993990362,18500,56.2399993990362
13082.66,996990097.2381,84322292.2173406,56.2399993990362,18500,56.2399993990362
13141.46,997578162.102571,84910358.9287664,56.2399993990362,18500,56.2399993990362
13200.81,998171617.18002,85503815.9540559,56.2399993990362,18500,56.2399993990362
13261.49,998778395.008943,86110596.7071916,56.2399993990362,18500,56.2399993990362
13321.87,999382244.519729,86714449.6825601,56.2399993990362,18500,56.2399993990362
13380.14,999964895.893592,87297102.7949716,56.2399993990362,18500,56.2399993990362
13440.85,999999999.792544,87332208.9166709,56.2399993990362,18500,56.2399993990362
13500.73,1000000000,87332210.7669545,56.2399993990362,18500,56.2399993990362
13563.05,1000000000,87332213.7562827,56.2399993990362,18500,56.2399993990362
13620.04,1000000000,87332216.0408385,56.2399993990362,18500,56.2399993990362
13681.06,1000000000,87332217.591984,56.2399993990362,18500,56.2399993990362
13740.32,1000000000,87332218.6728728,56.2399993990362,18500,56.2399993990362
13800.24,1000000000,87332221.0003759,56.2399993990362,18500,56.2399993990362
13860.07,1000000000,87332223.9997352,56.2399993990362,18500,56.2399993990362
13920.24,999999999.740299,87332226.9332057,56.2399993990362,19000,56.2399993990362
13982.02,998742323.140802,87927812.2768677,57.2695878411792,19500,57.2695878411792
14041.63,997728352.934161,88523927.9423035,58.2631139742964,19500,58.2631139742964
14103.03,997114328.183047,89137950.7456101,59.2799993665516,19500,59.2799993665516
14161.8,997701999.970008,89725624.2034711,59.2799993665516,20000,59.2799993665516
14221.43,996590028.602361,90321977.9489316,60.2739222997197,20000,60.2739222997197
14280.79,996547204.535373,90915510.4074754,60.7999993503094,20000,60.7999993503094
14340.59,997145283.199082,91513592.0009888,60.7999993503094,20000,60.7999993503094
14401.08,997750165.581825,92118476.8066682,60.7999993503094,20000,60.7999993503094
14460.48,998344124.324626,92712436.5297831,60.7999993503094,20000,60.7999993503094
